State,County,Percent_COPD,Quartile,Year,Median AQI,Days Ozone,Days PM2.5,Days NO2,Days PM10
North Carolina,Jackson,7.4,7.1 - 8.1,2021,38,0,100,0,0
North Carolina,Rowan,7.4,7.1 - 8.1,2021,44,181,183,0,0
Ohio,Cuyahoga,7.4,7.1 - 8.1,2021,57,75,284,0,6
Ohio,Lorain,7.4,7.1 - 8.1,2021,41,150,154,0,0
Oklahoma,Washington,7.4,7.1 - 8.1,2021,51,128,217,0,0
Pennsylvania,Bradford,7.4,7.1 - 8.1,2021,42,110,246,0,0
Tennessee,Loudon,7.4,7.1 - 8.1,2021,42,134,231,0,0
Tennessee,Shelby,7.4,7.1 - 8.1,2021,48,127,238,0,0
Texas,Hunt,7.4,7.1 - 8.1,2021,33,357,0,5,0
Texas,Karnes,7.4,7.1 - 8.1,2021,6,0,0,364,0
Washington,Okanogan,7.4,7.1 - 8.1,2021,54,0,365,0,0
Illinois,Hamilton,7.5,7.1 - 8.1,2021,48,83,281,0,0
Maine,Penobscot,7.5,7.1 - 8.1,2021,33,194,166,0,2
Michigan,Huron,7.5,7.1 - 8.1,2021,37,246,0,0,0
Mississippi,Forrest,7.5,7.1 - 8.1,2021,51,0,363,0,0
Missouri,Clinton,7.5,7.1 - 8.1,2021,38,245,0,0,0
Missouri,Greene,7.5,7.1 - 8.1,2021,38,188,135,0,42
Montana,Rosebud,7.5,7.1 - 8.1,2021,38,171,113,6,73
Montana,Sanders,7.5,7.1 - 8.1,2021,42,0,350,0,6
New Hampshire,Coos,7.5,7.1 - 8.1,2021,42,355,5,0,0
New York,Oneida,7.5,7.1 - 8.1,2021,25,0,347,0,0
North Carolina,Yancey,7.5,7.1 - 8.1,2021,44,240,0,0,0
South Carolina,Edgefield,7.5,7.1 - 8.1,2021,39,160,194,0,0
Texas,Harrison,7.5,7.1 - 8.1,2021,47,89,273,0,0
Texas,Jefferson,7.5,7.1 - 8.1,2021,44,147,218,0,0
Texas,Orange,7.5,7.1 - 8.1,2021,41,111,250,3,0
Virginia,Giles,7.5,7.1 - 8.1,2021,38,358,0,0,0
West Virginia,Monongalia,7.5,7.1 - 8.1,2021,39,200,82,0,0
Alabama,Mobile,7.6,7.1 - 8.1,2021,53,35,326,0,0
Arkansas,Clark,7.6,7.1 - 8.1,2021,32,338,0,0,0
California,Del Norte,7.6,7.1 - 8.1,2021,31,0,323,0,0
Georgia,Floyd,7.6,7.1 - 8.1,2021,38,0,354,0,0
Georgia,Walker,7.6,7.1 - 8.1,2021,53,0,233,0,0
Indiana,Carroll,7.6,7.1 - 8.1,2021,34,365,0,0,0
Indiana,Perry,7.6,7.1 - 8.1,2021,36,363,0,0,0
Indiana,Shelby,7.6,7.1 - 8.1,2021,33,365,0,0,0
Michigan,Wexford,7.6,7.1 - 8.1,2021,34,360,0,0,0
Ohio,Madison,7.6,7.1 - 8.1,2021,39,229,0,0,0
Ohio,Preble,7.6,7.1 - 8.1,2021,47,108,257,0,0
Oklahoma,Osage,7.6,7.1 - 8.1,2021,39,327,0,0,0
Oregon,Josephine,7.6,7.1 - 8.1,2021,36,0,365,0,0
Oregon,Klamath,7.6,7.1 - 8.1,2021,54,0,365,0,0
Pennsylvania,Clearfield,7.6,7.1 - 8.1,2021,33,277,0,0,0
Tennessee,Blount,7.6,7.1 - 8.1,2021,44,168,197,0,0
Texas,Bowie,7.6,7.1 - 8.1,2021,52,0,357,0,0
Texas,Gregg,7.6,7.1 - 8.1,2021,33,358,0,7,0
Alabama,Morgan,7.7,7.1 - 8.1,2021,47,71,294,0,0
Georgia,Sumter,7.7,7.1 - 8.1,2021,35,245,0,0,0
Illinois,Randolph,7.7,7.1 - 8.1,2021,45,119,236,0,0
Indiana,Howard,7.7,7.1 - 8.1,2021,44,164,197,0,0
Maine,Androscoggin,7.7,7.1 - 8.1,2021,36,113,239,0,4
Michigan,Genesee,7.7,7.1 - 8.1,2021,41,165,200,0,0
New Mexico,Luna,7.7,7.1 - 8.1,2021,19,0,0,0,362
North Carolina,Montgomery,7.7,7.1 - 8.1,2021,43,139,226,0,0
Oklahoma,Dewey,7.7,7.1 - 8.1,2021,44,196,169,0,0
South Carolina,Darlington,7.7,7.1 - 8.1,2021,35,275,0,0,0
Arkansas,Arkansas,7.8,7.1 - 8.1,2021,39,0,120,0,0
Arkansas,Union,7.8,7.1 - 8.1,2021,48,0,116,0,0
Georgia,Dougherty,7.8,7.1 - 8.1,2021,51,0,352,0,0
Indiana,Vanderburgh,7.8,7.1 - 8.1,2021,51,76,289,0,0
Kentucky,Hardin,7.8,7.1 - 8.1,2021,43,117,247,0,0
Kentucky,Jessamine,7.8,7.1 - 8.1,2021,38,227,0,0,0
Michigan,Missaukee,7.8,7.1 - 8.1,2021,45,85,270,0,0
Mississippi,Lauderdale,7.8,7.1 - 8.1,2021,31,245,0,0,0
Nevada,Nye,7.8,7.1 - 8.1,2021,23,0,0,0,365
North Carolina,Graham,7.8,7.1 - 8.1,2021,42,245,0,0,0
Ohio,Montgomery,7.8,7.1 - 8.1,2021,53,91,266,0,0
Oklahoma,Carter,7.8,7.1 - 8.1,2021,46,0,316,0,0
Oklahoma,Creek,7.8,7.1 - 8.1,2021,37,343,0,0,0
Oregon,Harney,7.8,7.1 - 8.1,2021,48,0,365,0,0
Oregon,Lake,7.8,7.1 - 8.1,2021,28,0,365,0,0
Pennsylvania,Fayette,7.8,7.1 - 8.1,2021,43,83,271,0,0
Alabama,Russell,7.9,7.1 - 8.1,2021,47,51,313,0,0
California,Trinity,7.9,7.1 - 8.1,2021,38,0,328,0,0
Idaho,Shoshone,7.9,7.1 - 8.1,2021,49,0,362,0,1
Iowa,Van Buren,7.9,7.1 - 8.1,2021,44,88,274,0,0
Michigan,Tuscola,7.9,7.1 - 8.1,2021,34,353,0,0,0
Michigan,Wayne,7.9,7.1 - 8.1,2021,58,33,319,5,8
Missouri,Perry,7.9,7.1 - 8.1,2021,39,244,0,0,0
New Mexico,San Juan,7.9,7.1 - 8.1,2021,46,360,0,1,4
North Carolina,Caldwell,7.9,7.1 - 8.1,2021,40,243,0,0,0
North Carolina,Rockingham,7.9,7.1 - 8.1,2021,43,239,0,0,0
Ohio,Lucas,7.9,7.1 - 8.1,2021,46,120,244,0,0
Ohio,Stark,7.9,7.1 - 8.1,2021,53,90,275,0,0
Arkansas,Newton,8.0,7.1 - 8.1,2021,37,330,35,0,0
Indiana,LaPorte,8.0,7.1 - 8.1,2021,37,309,56,0,0
Kentucky,Warren,8.0,7.1 - 8.1,2021,45,78,285,0,0
Louisiana,Caddo,8.0,7.1 - 8.1,2021,37,268,94,0,0
Louisiana,Rapides,8.0,7.1 - 8.1,2021,38,0,122,0,0
New York,Oswego,8.0,7.1 - 8.1,2021,34,360,0,0,0
Ohio,Allen,8.0,7.1 - 8.1,2021,42,178,187,0,0
Tennessee,Roane,8.0,7.1 - 8.1,2021,37,0,357,0,0
Texas,Culberson,8.0,7.1 - 8.1,2021,43,145,76,0,0
Texas,Navarro,8.0,7.1 - 8.1,2021,41,183,181,1,0
Virginia,Prince Edward,8.0,7.1 - 8.1,2021,33,356,0,0,0
Virginia,Wythe,8.0,7.1 - 8.1,2021,39,242,0,0,0
Alabama,Etowah,8.1,7.1 - 8.1,2021,38,201,85,0,0
Georgia,Washington,8.1,7.1 - 8.1,2021,51,0,365,0,0
Idaho,Butte,8.1,7.1 - 8.1,2021,42,350,13,0,0
Indiana,Elkhart,8.1,7.1 - 8.1,2021,45,139,226,0,0
Indiana,Henry,8.1,7.1 - 8.1,2021,38,0,117,0,0
Indiana,Wabash,8.1,7.1 - 8.1,2021,35,362,0,0,0
Kentucky,Bullitt,8.1,7.1 - 8.1,2021,37,237,0,0,0
Louisiana,Lafourche,8.1,7.1 - 8.1,2021,45,112,235,0,0
Louisiana,Terrebonne,8.1,7.1 - 8.1,2021,34,0,110,0,0
Michigan,Schoolcraft,8.1,7.1 - 8.1,2021,37,175,185,0,0
Missouri,Taney,8.1,7.1 - 8.1,2021,27,0,118,0,0
New Mexico,Catron,8.1,7.1 - 8.1,2021,14,0,112,0,0
New York,Chautauqua,8.1,7.1 - 8.1,2021,38,318,43,0,0
North Carolina,Edgecombe,8.1,7.1 - 8.1,2021,38,171,192,0,0
North Carolina,Martin,8.1,7.1 - 8.1,2021,32,238,0,0,58
Ohio,Knox,8.1,7.1 - 8.1,2021,38,245,0,0,0
Tennessee,Anderson,8.1,7.1 - 8.1,2021,38,235,0,0,0
Tennessee,Madison,8.1,7.1 - 8.1,2021,38,0,356,0,0
Virginia,Pittsylvania,8.1,7.1 - 8.1,2021,3,0,0,335,0
Arkansas,Crittenden,8.2,8.2 - 15.8,2021,45,98,265,2,0
Louisiana,Iberville,8.2,8.2 - 15.8,2021,39,307,58,0,0
Louisiana,Ouachita,8.2,8.2 - 15.8,2021,35,277,72,0,0
New York,Hamilton,8.2,8.2 - 15.8,2021,33,358,0,0,0
North Carolina,Northampton,8.2,8.2 - 15.8,2021,34,0,359,4,0
Ohio,Belmont,8.2,8.2 - 15.8,2021,14,0,108,247,8
Ohio,Mahoning,8.2,8.2 - 15.8,2021,47,86,279,0,0
Oklahoma,Love,8.2,8.2 - 15.8,2021,42,286,0,0,0
West Virginia,Ohio,8.2,8.2 - 15.8,2021,39,196,89,0,0
Georgia,Murray,8.3,8.2 - 15.8,2021,38,223,53,0,0
Indiana,Madison,8.3,8.2 - 15.8,2021,48,124,240,0,0
Kentucky,Simpson,8.3,8.2 - 15.8,2021,37,243,0,0,0
Louisiana,Pointe Coupee,8.3,8.2 - 15.8,2021,32,365,0,0,0
Louisiana,St. Martin,8.3,8.2 - 15.8,2021,34,360,0,0,0
Maine,Oxford,8.3,8.2 - 15.8,2021,35,170,190,0,0
Mississippi,Yalobusha,8.3,8.2 - 15.8,2021,31,359,0,0,0
Missouri,Monroe,8.3,8.2 - 15.8,2021,32,363,0,0,2
Oklahoma,Pittsburg,8.3,8.2 - 15.8,2021,51,107,253,0,0
South Carolina,Chesterfield,8.3,8.2 - 15.8,2021,41,134,224,0,0
West Virginia,Berkeley,8.3,8.2 - 15.8,2021,40,189,84,0,0
Indiana,Knox,8.4,8.2 - 15.8,2021,36,360,0,0,0
Kentucky,Daviess,8.4,8.2 - 15.8,2021,48,88,275,0,0
Kentucky,McCracken,8.4,8.2 - 15.8,2021,44,93,247,21,2
Kentucky,Washington,8.4,8.2 - 15.8,2021,36,362,0,0,0
Louisiana,St. Bernard,8.4,8.2 - 15.8,2021,47,117,242,0,0
Louisiana,Tangipahoa,8.4,8.2 - 15.8,2021,39,0,110,0,0
North Carolina,Hyde,8.4,8.2 - 15.8,2021,22,0,107,0,0
North Carolina,Swain,8.4,8.2 - 15.8,2021,40,200,154,0,0
Ohio,Clinton,8.4,8.2 - 15.8,2021,39,240,0,0,0
Oklahoma,Kay,8.4,8.2 - 15.8,2021,52,0,354,0,0
Texas,Polk,8.4,8.2 - 15.8,2021,30,353,0,0,0
Texas,Potter,8.4,8.2 - 15.8,2021,31,0,354,0,0
Virginia,Carroll,8.4,8.2 - 15.8,2021,9,0,0,0,60
Indiana,Greene,8.5,8.2 - 15.8,2021,38,287,69,0,0
Missouri,Buchanan,8.5,8.2 - 15.8,2021,44,0,310,0,55
Ohio,Columbiana,8.5,8.2 - 15.8,2021,16,0,0,0,61
Tennessee,Jefferson,8.5,8.2 - 15.8,2021,41,235,0,0,0
Tennessee,Sevier,8.5,8.2 - 15.8,2021,42,363,0,0,0
Tennessee,Sullivan,8.5,8.2 - 15.8,2021,41,153,212,0,0
West Virginia,Brooke,8.5,8.2 - 15.8,2021,21,0,122,0,240
Alabama,Lawrence,8.6,8.2 - 15.8,2021,28,0,100,0,0
Indiana,Vigo,8.6,8.2 - 15.8,2021,51,100,265,0,0
Maine,Aroostook,8.6,8.2 - 15.8,2021,35,198,158,0,9
North Carolina,Lenoir,8.6,8.2 - 15.8,2021,34,241,0,0,65
Ohio,Clark,8.6,8.2 - 15.8,2021,52,78,287,0,0
Oklahoma,Mayes,8.6,8.2 - 15.8,2021,37,248,0,0,0
Tennessee,Putnam,8.6,8.2 - 15.8,2021,36,0,356,0,0
Alabama,Clay,8.7,8.2 - 15.8,2021,36,0,110,0,0
Georgia,Charlton,8.7,8.2 - 15.8,2021,25,0,121,0,0
Indiana,Delaware,8.7,8.2 - 15.8,2021,37,293,69,0,0
Kentucky,Greenup,8.7,8.2 - 15.8,2021,34,231,0,0,0
Kentucky,Trigg,8.7,8.2 - 15.8,2021,35,345,0,0,0
Missouri,Jasper,8.7,8.2 - 15.8,2021,38,218,0,0,142
Ohio,Washington,8.7,8.2 - 15.8,2021,39,245,0,0,0
Oklahoma,Kiowa,8.7,8.2 - 15.8,2021,43,283,0,0,0
Tennessee,Dyer,8.7,8.2 - 15.8,2021,39,0,350,0,0
Alabama,Sumter,8.8,8.2 - 15.8,2021,35,91,264,0,0
Arkansas,Polk,8.8,8.2 - 15.8,2021,40,293,67,0,0
Georgia,Coffee,8.8,8.2 - 15.8,2021,35,0,116,0,0
Ohio,Trumbull,8.8,8.2 - 15.8,2021,45,114,249,0,0
Arizona,Navajo,8.9,8.2 - 15.8,2021,44,337,4,0,24
Kentucky,Hancock,8.9,8.2 - 15.8,2021,38,241,0,0,0
Mississippi,Bolivar,8.9,8.2 - 15.8,2021,44,94,266,0,0
West Virginia,Hancock,8.9,8.2 - 15.8,2021,38,194,81,0,89
West Virginia,Marion,8.9,8.2 - 15.8,2021,40,0,91,0,0
West Virginia,Tucker,8.9,8.2 - 15.8,2021,34,344,19,0,0
Maine,Washington,9.0,8.2 - 15.8,2021,33,344,16,0,0
Montana,Roosevelt,9.0,8.2 - 15.8,2021,16,0,100,0,0
Ohio,Harrison,9.0,8.2 - 15.8,2021,5,0,54,0,3
Ohio,Jefferson,9.0,8.2 - 15.8,2021,55,49,309,0,0
Tennessee,McMinn,9.0,8.2 - 15.8,2021,37,0,360,0,0
West Virginia,Kanawha,9.0,8.2 - 15.8,2021,44,116,249,0,0
Ohio,Athens,9.1,8.2 - 15.8,2021,27,0,113,0,0
Oklahoma,Ottawa,9.1,8.2 - 15.8,2021,59,25,336,0,4
West Virginia,Harrison,9.1,8.2 - 15.8,2021,35,0,115,0,0
West Virginia,Marshall,9.1,8.2 - 15.8,2021,53,0,353,0,0
Ohio,Fayette,9.2,8.2 - 15.8,2021,36,360,0,0,0
Ohio,Noble,9.2,8.2 - 15.8,2021,37,319,32,0,0
Kentucky,Boyd,9.3,8.2 - 15.8,2021,44,70,282,8,0
Kentucky,Livingston,9.3,8.2 - 15.8,2021,39,243,0,0,0
West Virginia,Gilmer,9.3,8.2 - 15.8,2021,31,358,0,0,0
Arkansas,Ashley,9.4,8.2 - 15.8,2021,42,0,120,0,0
Alabama,DeKalb,9.5,8.2 - 15.8,2021,37,298,63,0,0
Arkansas,Jackson,9.5,8.2 - 15.8,2021,39,0,120,0,0
Kentucky,Christian,9.6,8.2 - 15.8,2021,49,66,299,0,0
Ohio,Lawrence,9.6,8.2 - 15.8,2021,46,85,280,0,0
West Virginia,Wood,9.6,8.2 - 15.8,2021,38,182,89,0,0
Georgia,Chattooga,9.7,8.2 - 15.8,2021,33,245,0,0,0
Oklahoma,Sequoyah,9.7,8.2 - 15.8,2021,41,125,235,0,0
Tennessee,DeKalb,9.7,8.2 - 15.8,2021,35,363,0,0,0
Tennessee,Claiborne,9.8,8.2 - 15.8,2021,34,357,0,0,0
Tennessee,Lawrence,9.8,8.2 - 15.8,2021,34,0,357,0,0
Missouri,Stoddard,9.9,8.2 - 15.8,2021,30,0,109,0,0
Ohio,Ashtabula,10.0,8.2 - 15.8,2021,38,243,0,0,0
West Virginia,Cabell,10.0,8.2 - 15.8,2021,38,193,90,0,0
Missouri,Cedar,10.1,8.2 - 15.8,2021,42,148,202,0,0
Kentucky,Pulaski,10.3,8.2 - 15.8,2021,45,74,287,0,0
Ohio,Scioto,10.3,8.2 - 15.8,2021,16,0,122,0,243
West Virginia,Greenbrier,10.3,8.2 - 15.8,2021,37,231,0,0,0
Arizona,Apache,10.4,8.2 - 15.8,2021,15,0,67,0,292
Kentucky,Edmonson,10.5,8.2 - 15.8,2021,36,326,35,0,0
South Dakota,Jackson,10.6,8.2 - 15.8,2021,35,220,139,1,5
Oklahoma,Adair,10.7,8.2 - 15.8,2021,40,228,133,0,4
Kentucky,Morgan,11.2,8.2 - 15.8,2021,35,352,0,0,0
Kentucky,Perry,11.2,8.2 - 15.8,2021,44,71,294,0,0
Kentucky,Carter,11.7,8.2 - 15.8,2021,35,200,77,0,2
Kentucky,Pike,11.8,8.2 - 15.8,2021,41,92,273,0,0
Kentucky,Bell,13.3,8.2 - 15.8,2021,52,47,317,0,0
