State,County,Percent_COPD,Quartile
Tennessee,Wayne,9.8,8.2 - 15.8
Tennessee,White,9.8,8.2 - 15.8
West Virginia,Hampshire,9.8,8.2 - 15.8
West Virginia,Monroe,9.8,8.2 - 15.8
West Virginia,Nicholas,9.8,8.2 - 15.8
Alabama,Wilcox,9.9,8.2 - 15.8
Arkansas,Chicot,9.9,8.2 - 15.8
Arkansas,Sharp,9.9,8.2 - 15.8
Kentucky,Gallatin,9.9,8.2 - 15.8
Louisiana,Washington,9.9,8.2 - 15.8
Mississippi,Issaquena,9.9,8.2 - 15.8
Missouri,Dent,9.9,8.2 - 15.8
Missouri,Hickory,9.9,8.2 - 15.8
Missouri,Shannon,9.9,8.2 - 15.8
Missouri,Stoddard,9.9,8.2 - 15.8
New Mexico,McKinley,9.9,8.2 - 15.8
Ohio,Highland,9.9,8.2 - 15.8
Tennessee,Jackson,9.9,8.2 - 15.8
Tennessee,McNairy,9.9,8.2 - 15.8
Tennessee,Union,9.9,8.2 - 15.8
Texas,King,9.9,8.2 - 15.8
Virginia,Emporia,9.9,8.2 - 15.8
West Virginia,Doddridge,9.9,8.2 - 15.8
West Virginia,Grant,9.9,8.2 - 15.8
West Virginia,Pendleton,9.9,8.2 - 15.8
Arkansas,Lafayette,10.0,8.2 - 15.8
Arkansas,Lee,10.0,8.2 - 15.8
Arkansas,Searcy,10.0,8.2 - 15.8
Kentucky,Bracken,10.0,8.2 - 15.8
Kentucky,Breckinridge,10.0,8.2 - 15.8
Missouri,New Madrid,10.0,8.2 - 15.8
Ohio,Ashtabula,10.0,8.2 - 15.8
Tennessee,Grainger,10.0,8.2 - 15.8
Texas,Newton,10.0,8.2 - 15.8
Texas,San Augustine,10.0,8.2 - 15.8
West Virginia,Cabell,10.0,8.2 - 15.8
West Virginia,Wetzel,10.0,8.2 - 15.8
Georgia,Treutlen,10.1,8.2 - 15.8
Indiana,Crawford,10.1,8.2 - 15.8
Kentucky,Butler,10.1,8.2 - 15.8
Kentucky,Fleming,10.1,8.2 - 15.8
Kentucky,Powell,10.1,8.2 - 15.8
Kentucky,Rowan,10.1,8.2 - 15.8
Kentucky,Todd,10.1,8.2 - 15.8
Kentucky,Webster,10.1,8.2 - 15.8
Louisiana,Bienville,10.1,8.2 - 15.8
Louisiana,Morehouse,10.1,8.2 - 15.8
Louisiana,Richland,10.1,8.2 - 15.8
Mississippi,Holmes,10.1,8.2 - 15.8
Missouri,Cedar,10.1,8.2 - 15.8
Missouri,Howell,10.1,8.2 - 15.8
Missouri,Knox,10.1,8.2 - 15.8
Missouri,Morgan,10.1,8.2 - 15.8
Missouri,Texas,10.1,8.2 - 15.8
Missouri,Washington,10.1,8.2 - 15.8
Tennessee,Benton,10.1,8.2 - 15.8
Tennessee,Bledsoe,10.1,8.2 - 15.8
Tennessee,Overton,10.1,8.2 - 15.8
West Virginia,Jackson,10.1,8.2 - 15.8
Arkansas,Fulton,10.2,8.2 - 15.8
Arkansas,Stone,10.2,8.2 - 15.8
Georgia,Atkinson,10.2,8.2 - 15.8
Kentucky,Metcalfe,10.2,8.2 - 15.8
Kentucky,Robertson,10.2,8.2 - 15.8
Louisiana,Caldwell,10.2,8.2 - 15.8
Missouri,Butler,10.2,8.2 - 15.8
Ohio,Morgan,10.2,8.2 - 15.8
South Dakota,Corson,10.2,8.2 - 15.8
Tennessee,Grundy,10.2,8.2 - 15.8
Tennessee,Lauderdale,10.2,8.2 - 15.8
West Virginia,Hardy,10.2,8.2 - 15.8
West Virginia,Lewis,10.2,8.2 - 15.8
Kentucky,Pulaski,10.3,8.2 - 15.8
Louisiana,Avoyelles,10.3,8.2 - 15.8
Mississippi,Quitman,10.3,8.2 - 15.8
Ohio,Adams,10.3,8.2 - 15.8
Ohio,Scioto,10.3,8.2 - 15.8
Tennessee,Cocke,10.3,8.2 - 15.8
Tennessee,Morgan,10.3,8.2 - 15.8
Tennessee,Pickett,10.3,8.2 - 15.8
West Virginia,Greenbrier,10.3,8.2 - 15.8
Alabama,Greene,10.4,8.2 - 15.8
Arizona,Apache,10.4,8.2 - 15.8
Kentucky,Bath,10.4,8.2 - 15.8
Louisiana,Franklin,10.4,8.2 - 15.8
Louisiana,Webster,10.4,8.2 - 15.8
Ohio,Holmes,10.4,8.2 - 15.8
South Dakota,Ziebach,10.4,8.2 - 15.8
Tennessee,Fentress,10.4,8.2 - 15.8
Tennessee,Lewis,10.4,8.2 - 15.8
Tennessee,Macon,10.4,8.2 - 15.8
Tennessee,Sequatchie,10.4,8.2 - 15.8
Virginia,Dickenson,10.4,8.2 - 15.8
West Virginia,Raleigh,10.4,8.2 - 15.8
Alabama,Perry,10.5,8.2 - 15.8
Georgia,Randolph,10.5,8.2 - 15.8
Kentucky,Barren,10.5,8.2 - 15.8
Kentucky,Edmonson,10.5,8.2 - 15.8
Kentucky,Russell,10.5,8.2 - 15.8
Louisiana,Tensas,10.5,8.2 - 15.8
Missouri,Dunklin,10.5,8.2 - 15.8
Missouri,Wayne,10.5,8.2 - 15.8
Ohio,Vinton,10.5,8.2 - 15.8
Oklahoma,Okfuskee,10.5,8.2 - 15.8
Tennessee,Campbell,10.5,8.2 - 15.8
Tennessee,Perry,10.5,8.2 - 15.8
Virginia,Lee,10.5,8.2 - 15.8
West Virginia,Upshur,10.5,8.2 - 15.8
Kentucky,Lincoln,10.6,8.2 - 15.8
Mississippi,Humphreys,10.6,8.2 - 15.8
Missouri,McDonald,10.6,8.2 - 15.8
South Dakota,Jackson,10.6,8.2 - 15.8
Tennessee,Johnson,10.6,8.2 - 15.8
West Virginia,Boone,10.6,8.2 - 15.8
West Virginia,Mason,10.6,8.2 - 15.8
West Virginia,Wayne,10.6,8.2 - 15.8
Kentucky,Carlisle,10.7,8.2 - 15.8
Kentucky,Carroll,10.7,8.2 - 15.8
Kentucky,Laurel,10.7,8.2 - 15.8
Louisiana,Madison,10.7,8.2 - 15.8
Missouri,Wright,10.7,8.2 - 15.8
Ohio,Meigs,10.7,8.2 - 15.8
Ohio,Pike,10.7,8.2 - 15.8
Oklahoma,Adair,10.7,8.2 - 15.8
Virginia,Buchanan,10.7,8.2 - 15.8
West Virginia,Barbour,10.7,8.2 - 15.8
West Virginia,Fayette,10.7,8.2 - 15.8
West Virginia,Ritchie,10.7,8.2 - 15.8
Kentucky,Whitley,10.8,8.2 - 15.8
North Dakota,Sioux,10.8,8.2 - 15.8
South Dakota,Buffalo,10.8,8.2 - 15.8
Tennessee,Van Buren,10.8,8.2 - 15.8
West Virginia,Mercer,10.8,8.2 - 15.8
West Virginia,Summers,10.8,8.2 - 15.8
Alaska,Bethel,10.9,8.2 - 15.8
Kentucky,Fulton,10.9,8.2 - 15.8
Kentucky,Grayson,10.9,8.2 - 15.8
Kentucky,Monroe,10.9,8.2 - 15.8
Kentucky,Nicholas,10.9,8.2 - 15.8
Louisiana,Claiborne,10.9,8.2 - 15.8
Missouri,Pemiscot,10.9,8.2 - 15.8
West Virginia,Wirt,10.9,8.2 - 15.8
Georgia,Clinch,11.0,8.2 - 15.8
Louisiana,Concordia,11.0,8.2 - 15.8
Louisiana,Evangeline,11.0,8.2 - 15.8
Missouri,Mississippi,11.0,8.2 - 15.8
Missouri,Ozark,11.0,8.2 - 15.8
Missouri,Ripley,11.0,8.2 - 15.8
Tennessee,Clay,11.0,8.2 - 15.8
Kentucky,Johnson,11.1,8.2 - 15.8
West Virginia,Pocahontas,11.1,8.2 - 15.8
Kentucky,Hart,11.2,8.2 - 15.8
Kentucky,Martin,11.2,8.2 - 15.8
Kentucky,Morgan,11.2,8.2 - 15.8
Kentucky,Perry,11.2,8.2 - 15.8
Kentucky,Rockcastle,11.2,8.2 - 15.8
Missouri,Oregon,11.3,8.2 - 15.8
South Dakota,Mellette,11.3,8.2 - 15.8
Tennessee,Lake,11.3,8.2 - 15.8
Tennessee,Scott,11.3,8.2 - 15.8
Kentucky,Cumberland,11.4,8.2 - 15.8
Kentucky,Green,11.4,8.2 - 15.8
Kentucky,Wayne,11.4,8.2 - 15.8
Kentucky,Carter,11.7,8.2 - 15.8
Kentucky,Clinton,11.8,8.2 - 15.8
Kentucky,Menifee,11.8,8.2 - 15.8
Kentucky,Pike,11.8,8.2 - 15.8
West Virginia,Braxton,11.8,8.2 - 15.8
West Virginia,Roane,11.8,8.2 - 15.8
Kentucky,Elliott,11.9,8.2 - 15.8
Kentucky,Lawrence,11.9,8.2 - 15.8
West Virginia,Clay,12.0,8.2 - 15.8
West Virginia,Lincoln,12.0,8.2 - 15.8
Kentucky,Floyd,12.1,8.2 - 15.8
Kentucky,Estill,12.2,8.2 - 15.8
West Virginia,Wyoming,12.2,8.2 - 15.8
Kentucky,Breathitt,12.3,8.2 - 15.8
West Virginia,Webster,12.3,8.2 - 15.8
Tennessee,Hancock,12.4,8.2 - 15.8
West Virginia,Calhoun,12.4,8.2 - 15.8
Kentucky,Casey,12.5,8.2 - 15.8
Kentucky,Owsley,12.6,8.2 - 15.8
West Virginia,Logan,12.6,8.2 - 15.8
Kentucky,Letcher,12.7,8.2 - 15.8
Kentucky,Leslie,12.8,8.2 - 15.8
South Dakota,Oglala Lakota,13.0,8.2 - 15.8
Kentucky,Bell,13.3,8.2 - 15.8
Kentucky,Knott,13.3,8.2 - 15.8
West Virginia,Mingo,13.3,8.2 - 15.8
Kentucky,Knox,13.4,8.2 - 15.8
Kentucky,Magoffin,13.4,8.2 - 15.8
Kentucky,Lewis,13.5,8.2 - 15.8
Kentucky,Jackson,13.6,8.2 - 15.8
Kentucky,McCreary,13.6,8.2 - 15.8
Kentucky,Clay,13.7,8.2 - 15.8
Louisiana,East Carroll,13.7,8.2 - 15.8
South Dakota,Todd,13.7,8.2 - 15.8
Kentucky,Lee,13.8,8.2 - 15.8
West Virginia,McDowell,14.1,8.2 - 15.8
Alaska,Kusilvak,14.2,8.2 - 15.8
Kentucky,Harlan,14.2,8.2 - 15.8
Kentucky,Wolfe,15.8,8.2 - 15.8
